Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Dyes & Dyestuff,Acid Direct Dyes(Other Than Azo),4004,20146,3559,17300,4434,19689,5098,21655,5103,26145,5601,28666,5892,29584,6996,40191
Dyes & Dyestuff,Basic Dyes,7646,21701,8173,23896,9229,26186,10757,32222,12017,44585,12730,48887,13585,51140,13913,60670
Dyes & Dyestuff,Disperse Dyes,12065,48545,13117,52818,16078,59912,14460,56914,20552,107647,23362,133160,18521,93517,24336,120607
Dyes & Dyestuff,Fast Colour Bases,2806,11890,2262,11868,2174,15766,2042,9726,2652,14987,5364,46929,3667,21816,4008,28273
Dyes & Dyestuff,Oil Soluble (Solvent Dyes),6826,32614,6123,31703,8702,39439,8995,42906,10195,66808,11091,76571,9106,65358,10656,92079
Dyes & Dyestuff,Optical Whitening Agents,27211,44223,25203,46519,26957,46240,30124,48069,30259,66858,26084,82724,21458,44381,23448,63463
Dyes & Dyestuff,Organic Pigment,191,500,75,531,71,293,62,185,15,98,50,333,67,229,29,84
Dyes & Dyestuff,Pigment Emulsion,76407,365943,81536,374190,88980,392700,102051,441253,110526,494598,110669,534039,116980,581196,130371,757608
Dyes & Dyestuff,Reactive Dyes,107369,392147,113224,344963,128417,379350,147417,413080,158530,511426,169648,502283,152579,426490,180640,591072
Dyes & Dyestuff,Sulphur Dyes (Sulphur Black),1993,2627,1472,1945,2023,2682,5467,5794,5720,7303,4510,5233,3701,4115,5565,7958
Dyes & Dyestuff,Vat Dyes,2132,31855,1364,20523,1404,22737,1707,26607,4475,46284,4524,64023,3643,63587,6936,81370
Dyes & Dyestuff,Solubilised Vat Dyes,29,283,36,354,31,265,46,529,63,789,71,1185,83,759,74,1043
Dyes & Dyestuff,Food Colours,26034,77218,27101,79537,28359,79492,31110,87129,29007,107344,25347,107786,30271,118294,35087,143435
Dyes & Dyestuff,Napthols,1139,3113,1489,3463,2076,4753,2329,5725,3276,8341,4169,11467,4982,10894,3053,8471
Dyes & Dyestuff,Other Dyes,9612,27865,10159,22693,12711,24977,13735,26227,13621,31196,15218,34504,17473,34086,17930,38503
Dyes & Dyestuff,Inorganic Pigments,15854,10492,25826,25522,27236,30609,40345,39484,46160,41048,43507,40311,48262,45768,50868,55131
Total Export Of Major Chemicals,Total Export Of Major Chemicals,1061223,2628188,1138116,2667116,1483740,3006425,1495672,3429962,1579321,4451643,1698384,4731263,1904918,4793508,2339287,6579580
