Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Other Petro-Based Chemicals,2-Ethyl Hexanol,6391,6405,746,654,2055,1437,2636,1701,3175,2781,46,54,1408,1412,3463,5010
Other Petro-Based Chemicals,Vinyl Chloride Monomer,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,8
Other Petro-Based Chemicals,Epichlohydrine,14,19,28,33,54,55,49,76,48,90,106,183,58,306,28,275
Other Petro-Based Chemicals,Iso Butylene,1,2,28,249,1,3,0,2,0,1,18085,9028,6048,2593,18588,12966
Other Petro-Based Chemicals,Metaxylene,23,146,46,140,64,217,4,263,15,282,35,587,18,857,20,676
Other Petro-Based Chemicals,Methyl Isobutyl Ketone,206,364,287,266,918,788,940,878,2038,1817,2165,1525,667,882,1350,2681
Other Petro-Based Chemicals,Pib,4993,5925,6128,7200,2237,2448,2620,2711,4297,4788,5828,5839,9729,8097,6327,7754
Other Petro-Based Chemicals,Polycarbonate,2459,2772,4790,4597,3990,3284,4926,5370,3432,4605,3331,3621,4447,5685,4603,6563
Other Petro-Based Chemicals,Propylene Oxide,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
Other Petro-Based Chemicals,Propylene Glycol,773,1043,531,724,865,1113,1117,1713,1697,2419,5934,6573,3254,3931,1706,5187
Other Petro-Based Chemicals,Polyvinyl Acetate Resin,15456,15384,11259,11415,8767,8927,6958,6522,8510,8622,9048,7767,8175,7358,9527,15019
Other Petro-Based Chemicals,Unsaturated Polyster Resin,12660,17074,12112,15025,16263,18552,14436,18212,14667,21668,15498,22694,17443,27544,22071,42671
Other Petro-Based Chemicals,Cellulose Acetate Butyrate,44,93,6,81,8,30,1,18,1,15,0,0,9,39,0,2
Other Petro-Based Chemicals,Cellulose Acetate Sheet,33,84,34,116,85,178,59,145,22,79,33,106,25,102,13,39
Other Petro-Based Chemicals,Cellulose Nitrate Sheet,12,16,3,5,19,14,2,5,7,24,5,9,4,31,2,13
Other Petro-Based Chemicals,Melamine Moulding Powder,6339,2284,7993,2541,10124,3072,14754,3747,16578,4758,21691,6495,21800,6695,32531,11571
Other Petro-Based Chemicals,Polyacetal Resin,537,598,312,383,387,439,141,279,276,402,334,540,590,1081,1636,3556
Other Petro-Based Chemicals,Phthalic Anhydride,38634,26744,40448,22378,42033,25960,37869,25156,26495,18956,28898,17976,23296,12668,32492,25529
Other Petro-Based Chemicals,Styrene,6940,6623,793,669,5088,4176,4524,3842,6531,6690,4366,3326,17361,7081,41340,42223
Other Petro-Based Chemicals,Vinyl Actate Monomer,1562,1392,1695,1388,11755,6285,21261,13220,8344,6623,3434,2260,1834,1231,4545,6316
Other Petro-Based Chemicals,Isopropanol,6139,6508,3716,2805,7385,5106,11004,7850,6281,5336,10442,7773,8298,9567,11100,11539
Other Petro-Based Chemicals,Polyol,18938,48254,21099,26760,28458,32760,23427,39008,22316,43162,25825,77010,7820,60051,13483,40516
Total Export Of Major Petrochemicals,Total Export Of Major Petrochemicals,4411994,3537460,5301728,3385728,5289645,3535453,7401474,4927565,9618583,7394080,8798230,5807927,8273603,4358055,7534583,6363886
,,,,,,,,,,,,,,,,,
